v,mean_pnl,std_pnl,p10,p25,p50,p75,p90,mean_multiplier,std_multiplier,mean_rank,p10_rank,p90_rank,mean_regret,max_regret,p90_regret,prob_best_response
18,11964.097320025823,6565.336839830928,7260.5951740702,7260.5951740702,7260.5951740702,16609.263773918385,16609.263773918385,0.10821420408163264,0.01146571533158629,49.49688,49.0,50.0,201276.09452590466,279909.7369613503,221424.2831824781,0.0
19,11613.168020733605,6876.180639574257,6342.9623117316005,6342.9623117316005,6342.9623117316005,15541.813301402057,24740.66429107258,0.10935379591836732,0.012204151783021373,49.42708,48.0,50.0,201627.02382519693,280827.36982368893,222341.91604481672,0.0
20,17831.9177005924,10424.405117994545,5434.204855090764,14484.687280411694,14484.687280411694,23535.169705732682,32585.652131053546,0.12236473469387754,0.018805005222397857,48.63016,47.0,50.0,195408.2741453381,272685.6448550088,217233.6058153272,0.0
21,23768.256720325764,12863.617490613049,4525.447398449949,13427.561259421353,22329.675120392814,31231.788981364167,40133.902842335636,0.13529142857142853,0.023591952206482462,47.8384,46.0,50.0,189471.93512560474,264840.6570150277,213296.84283347608,0.0
22,25552.87535551985,13551.648619832646,12370.43523843099,12370.43523843099,21124.180535052932,29877.92583167476,47385.41642491857,0.1409129795918367,0.025275056394828594,47.49408,45.0,49.0,187687.31649041062,258608.08319390792,212195.14701811204,0.0
23,29174.62916294518,14582.202895926375,11313.309217440634,19918.68594971305,28524.06268198535,37129.439414257766,45734.81614653014,0.15021387755102036,0.027666049887329056,46.9244,45.0,49.0,184065.5626829853,259665.20921489826,208766.19240683527,0.0
24,34596.24529833329,16006.663023100287,18721.52965732025,27179.56407668267,35637.598496045204,44095.63291540768,52553.667334770216,0.16329599999999997,0.030897636600801727,46.12312,44.0,48.0,178643.9465475972,254583.1249577282,203938.5647436264,0.0
25,46943.26644433712,18457.91639760712,25848.88193742954,34161.08817714789,42473.29441686619,59097.70689630284,67409.91313602113,0.19041240816326527,0.03625436236938248,44.46224,42.0,47.0,166296.92540159335,242649.81950829277,193592.9311067043,0.0
26,58176.74361057795,20199.62063452816,32684.577858250545,40850.95591832466,57183.71203847295,73516.46815862118,81682.84621869528,0.21627102040816323,0.04038384241083791,42.8784,40.0,46.0,155063.44823535255,241427.09879720613,183761.9216938989,0.0
27,61745.509154102205,20581.65186673783,39228.61741978316,47249.16730021314,63290.26706107301,71310.81694150296,87351.91670236288,0.2274677551020408,0.041895752069663526,42.1926,39.0,45.0,151494.68269182826,242611.95275681507,179748.90841128133,0.0
28,63983.44673019366,20703.330528493887,37606.27892124164,53355.722322813206,61230.44402359896,76979.88742517047,92729.33082674202,0.23632,0.042923873692596856,41.6504,38.0,45.0,149256.74511573682,232979.24999085604,178450.66882041527,0.0
29,65422.16546217455,20706.673104834335,35997.60979934284,51457.85425765171,66918.0987159605,82378.34317426936,90108.46540342376,0.2437792653061224,0.04373386633510019,41.19352,38.0,45.0,147818.02638375596,234003.4809914361,176797.90843254316,0.0
30,67114.01436934609,20746.44168680876,41992.03328722883,49579.00510473222,64752.948739739004,79926.89237474585,95100.83600975265,0.25201959183673467,0.04464461229622655,40.6888,37.0,44.0,146126.17747658442,235166.57808610055,174697.6973646608,0.0
31,77919.98658957984,21685.82508511851,47700.15595181275,62587.79876351752,77475.44157522236,92363.08438692713,107250.72719863197,0.2805668571428571,0.04756351177711155,38.94028,35.0,43.0,135320.20525635066,218254.9126085898,164695.2067694342,0.0
32,84028.93040678659,22000.285580067015,53121.97779309466,67723.31978149741,82324.66176990024,96926.00375830298,111527.3457467058,0.2997296326530612,0.04919935938578549,37.76656,34.0,42.0,129211.26143914391,212403.63953235486,158444.11375115963,0.0
33,100075.45596503683,22876.448080086484,72572.53997617534,86887.58114127608,101202.62230637687,115517.66347147766,129832.70463657839,0.3423268571428572,0.05218190092104202,35.15748,31.0,39.0,113164.73588089367,202868.26645734193,142064.2417157176,0.0
34,118882.71366768665,23598.875018727133,91196.54443583911,105228.49916238216,119260.45388892514,133292.4086154682,147324.36334201123,0.39299853061224493,0.054915763757272515,32.05384,28.0,36.0,94357.47817824387,187282.40559150514,123456.37919416616,0.0
35,145775.00541614334,23806.75062711248,115875.24481114664,129626.56044315881,143377.876075171,164004.8495231892,177756.1651552014,0.4648757551020409,0.056530102761485165,27.65136,23.0,32.0,67465.18642978717,154187.90157377924,94374.82451885985,0.00012
36,167815.72075398834,23410.490695407636,139431.38880833075,152902.06534581204,166372.74188329332,186578.75668951526,200049.43322699654,0.5279875918367346,0.05674727500475072,23.78576,19.0,28.0,45424.47109194218,129368.88165120629,70279.77247507806,0.00188
37,178011.42886280472,22658.515948563956,148674.93898444096,161864.97642739138,175055.01387034185,194840.07003476747,208030.10747771797,0.5644617142857142,0.05609308629521511,21.55172,17.0,26.0,35228.76298312574,112431.96284026405,58277.09381112896,0.0068
38,184311.5183470556,21858.4098053783,157357.21097148943,170266.60931990904,183176.0076683286,196085.4060167482,215449.5035393776,0.592668081632653,0.055288710936120825,19.82408,15.0,24.0,28928.673498874894,96733.71348994403,50003.0955987786,0.01152
39,188131.87972586142,21046.994227600484,159236.798913915,171869.96413135892,190819.71195752482,203452.87717496871,216086.04239241267,0.6155017142857142,0.05440036438028737,18.42552,14.0,23.0,25108.312120069048,92209.74825546189,44402.09055182137,0.01408
40,196139.42797697982,19999.18719603707,173225.96963703563,185584.50082801338,197943.03201899113,210301.56320996888,222660.09440094663,0.6503366530612245,0.052840800727919336,16.29188,12.0,20.0,17100.76386895065,80320.84808733655,32849.19140492132,0.05212
41,205617.68538126885,18595.325219182956,180349.289698502,192433.18686301357,204517.08402752515,216600.9811920367,228684.87835654832,0.6907291428571428,0.05024821749182955,13.81784,10.0,18.0,7622.506464661625,62730.38162374025,18457.531602184958,0.26728
42,206401.77651219082,17609.76025438995,181018.7101380133,192827.9732760587,204637.2364141041,216446.49955214944,228255.76269019488,0.7089606530612245,0.04869165611888926,12.70116,9.0,17.0,6838.415333739662,58158.52985523167,16182.536109770648,0.17316
43,206196.80066019754,16679.640206718188,187180.81110684804,192948.12566263767,204482.75477421688,216017.38388579612,227552.01299737534,0.7252604081632654,0.047217930251930086,11.7028,8.0,15.0,7043.391185732929,47540.91746817905,14831.611298617849,0.12276
44,205207.44104398368,15790.83707649162,187292.9368430189,192926.00359300154,204192.1370929668,215458.27059293212,226724.40409289743,0.739677387755102,0.04576718089184839,10.81976,7.0,14.0,8032.7508019468,43153.31492397413,15524.46372167833,0.08564
45,203122.42844679608,14968.267715667358,181643.1050134232,192640.99723957977,203638.88946573637,214636.78169189295,220135.72780497128,0.7515278367346938,0.044441221289822204,10.09392,7.0,14.0,10117.763399134434,46153.47555762675,19004.04030855614,0.04464
46,204832.2144205291,13654.966555931744,186722.92413617537,197452.5750885233,208182.22604087117,213547.05151704513,224276.70246939303,0.7755193469387756,0.04155554182977703,8.62444,5.0,12.0,8407.977425401376,46799.15323750564,19148.406103513407,0.17096
47,200809.99553284797,12955.961532964739,186035.5558720406,191266.26071131023,201727.6703898494,212189.0800683886,217419.78490765824,0.7828499591836735,0.04043927330614837,8.17544,5.0,11.0,12430.19631308253,54058.432709953515,23348.990613401635,0.02716
48,196109.4131284139,12372.193665075893,180022.08877826118,190216.97359945838,195314.41601005694,205509.30083125414,210606.7432418527,0.7882605714285714,0.03962673480989144,7.84404,5.0,11.0,17130.778717516576,61271.261661772034,28651.093427963468,0.00628
49,191008.2169089427,11850.317779281948,174124.0865018955,184057.5640199851,193991.04153807467,198957.78029711943,203924.5190561642,0.7922357551020408,0.03895404718759287,7.60056,5.0,11.0,22231.974936987775,68345.59680212202,34693.83681847365,0.00104
50,189820.72195311578,10707.29197065091,177898.1544405118,182734.18954800276,192406.25976298473,197242.2948704757,202078.32997796664,0.8096385306122448,0.036147986159631613,6.53464,4.0,9.0,23419.46989281474,75419.93194247194,37024.26966720383,0.00968
51,186385.50061707973,9851.481081133408,171738.74486103855,181149.40777291288,185854.73922885003,195265.40214072433,199970.7335966615,0.8202089795918367,0.03418260944064387,5.8872,3.0,9.0,26854.69122885076,82494.26708282187,41493.522001379635,0.0046
52,180656.75956947624,9421.79555149767,170153.9630859486,174728.59089033198,179303.2186947153,188452.47430348198,193027.10210786536,0.8231980408163265,0.033625737452661446,5.70412,3.0,8.0,32583.432276454238,89568.60222317182,47622.54023084024,0.00028
53,174934.41562454644,8994.826299070313,163971.76932197926,168417.93595724116,177310.26922776498,181756.43586302688,186202.60249828882,0.8259696326530611,0.0330294203907961,5.53436,3.0,8.0,38305.77622138407,96521.56300186983,53057.165198980016,0.0
54,169237.65156345125,8601.423649794619,157858.29019849413,162177.42350131998,170815.69010697168,175134.82340979754,179453.9567126234,0.8287288163265306,0.03251379308792806,5.36536,3.0,8.0,44002.54028247927,103397.24211997128,59592.003529006586,0.0
55,163474.30679215965,8235.397196490258,151744.811075009,160129.01101578862,164321.1109861784,168513.2109565682,172705.31092695802,0.8313959183673467,0.03207353483509407,5.202,3.0,8.0,49765.88505377082,110272.92123807271,64856.17011702771,0.0
56,157707.9945222224,7846.304912786536,145631.3319515239,153761.46522743138,157826.53186538513,161891.59850333887,165956.66514129264,0.8342177959183673,0.03151312112711167,5.02916,3.0,8.0,55532.19732370809,113083.53371822042,70969.64924051281,0.0
57,151922.4617834459,7442.783248890109,143464.60285859634,147402.81360380948,151341.02434902263,159217.44583944895,159217.44583944895,0.8371043265306122,0.030855339242829398,4.85236,3.0,7.0,61317.73006248459,120076.46480554526,77343.85400752569,0.0
58,146319.25429937153,7048.255343649844,137418.8340192652,141233.97567869042,145049.11733811567,152679.40065696617,156494.5423163914,0.8401293061224491,0.030162328663925375,4.66708,2.0,7.0,66920.93754655897,126860.64815960388,83206.64535207921,0.0
59,140708.24915802167,6654.00307612984,131373.06517993406,135065.13775357138,142449.28290084604,146141.3554744834,149833.42804812072,0.8433214693877552,0.029424336263623164,4.47156,2.0,7.0,72531.94268790886,133644.83151366247,88794.80267016662,0.0
60,135063.68061559563,6251.68574612137,125327.29634060292,132465.30331630175,136034.30680415116,139603.3102920006,143172.31377985002,0.846580244897959,0.02859855392679626,4.27196,2.0,7.0,78176.51123033484,140429.0148677211,95123.51664680353,0.0
61,129294.31017465387,5874.50839365107,122727.46190333329,126173.3963053948,129619.3307074563,133065.26510951784,136511.19951157933,0.8494804897959184,0.027832898114211333,4.09432,2.0,6.0,83945.88167127663,147213.1982217797,101095.12914969976,0.0
62,123630.92508964012,5517.665848934699,116679.24503956697,120004.51676105458,123329.78848254221,126655.06020402984,129980.33192551744,0.8524989387755102,0.02709082082184542,3.90944,2.0,6.0,89609.26675629037,153864.72848841545,106664.26734913513,0.0
63,118033.28618378041,5158.014070354735,110726.41485958244,113932.92687673122,117139.43889388,120345.95091102878,123552.46292817756,0.8555715918367347,0.026262953067900247,3.72124,2.0,6.0,95206.9056621501,160411.3571900942,112011.5199318513,0.0
64,112406.38488677154,4788.877633961502,104773.5846795979,110949.08930521776,114036.84161802771,117124.59393083764,117124.59393083764,0.8587258775510204,0.025321252927187128,3.52804,2.0,6.0,100833.80695915893,166957.98589177296,117890.27069121771,0.0
65,106716.96848139876,4435.937872438547,101789.74710808447,104758.73971655554,107727.73232502665,110696.72493349775,110696.72493349775,0.8617887346938776,0.02439328250994857,3.34044,2.0,5.0,106523.22336453175,173504.6145934517,124030.10200530637,0.0
66,101022.82980848545,4096.230460751366,95756.49442460042,98607.47720063172,101458.45997666303,104309.44275269433,107160.42552872564,0.8648522448979592,0.023457606469781376,3.1528,1.0,5.0,112217.36203744505,180009.9066066949,130231.88279580374,0.0
67,95481.9014483304,3770.4187070152743,89926.2346476164,92663.17811260643,95400.1215775965,98137.06504258653,100874.0085075766,0.8678347755102042,0.022491460721966172,2.97012,1.0,5.0,117758.2903976001,186296.32362784393,136023.32921663107,0.0
68,89886.71774555442,3445.1382107485897,84095.9748706324,86718.8790245812,89341.78317853,91964.68733247882,94587.59148642761,0.8707389387755102,0.021444609165958625,2.79224,1.0,5.0,123353.47410037609,192582.7406489929,141965.99933196712,0.0
69,84224.06838636637,3154.4273981212987,80774.5799365559,83283.44477946346,85792.30962237102,85792.30962237102,88301.17446527857,0.8734680816326532,0.02052755277954571,2.62508,1.0,4.0,129016.12345956413,198869.15767014195,147527.01793079395,0.0
70,78491.20274258402,2871.851629870789,74830.28084853063,77225.10638039693,79619.93191226323,79619.93191226323,82014.75744412953,0.8759784489795919,0.019578617700960997,2.47132,1.0,4.0,134748.98910334648,205155.574691291,153021.032774449,0.0
71,72946.78456403436,2593.7643107315903,69118.36045091755,71403.60477611503,73688.84910131247,75974.09342650993,75974.09342650993,0.8783719183673471,0.01853069798847375,2.32472,1.0,4.0,140293.40728189613,211196.2387089106,159032.259995231,0.0
72,67379.72480407567,2343.3369849788605,63446.05757230242,65622.48073915717,67798.90390601188,69975.3270728666,69975.3270728666,0.8805289795918368,0.01757864169188787,2.1926,1.0,4.0,145860.46704185483,217195.00506255392,164751.4998659375,0.0
73,61771.66993734611,2108.7017050578615,59841.35670219932,59841.35670219932,61908.958710711304,63976.560719223286,63976.560719223286,0.8825893877551021,0.016651068628288492,2.0664,1.0,3.0,151468.52190858437,223193.77141619724,170750.26621958084,0.0
74,56112.56488881479,1883.731122434407,54060.23266524146,56019.0135154107,56019.0135154107,57977.794365579946,57977.794365579946,0.884453224489796,0.015700987597977816,1.95224,1.0,3.0,157127.62695711572,229192.53776984056,176749.03257322416,0.0
75,50615.52338466482,1690.211235930661,48482.04542810396,50335.82510675062,50335.82510675062,52189.60478539727,52189.60478539727,0.8861368163265309,0.014885957485912229,1.84912,1.0,3.0,162624.66846126565,234980.72735002325,182537.22215340685,0.0
76,45188.38563892766,1508.0621401188243,43010.82068209817,44761.61260082002,44761.61260082002,46512.40451954186,46512.40451954186,0.887653224489796,0.014063020529471181,1.75624,1.0,3.0,168051.80620700284,240657.92761587867,187647.98973967574,0.0
77,39724.18877765917,1337.5059204378642,37539.59593609242,39187.40009488945,40835.204253686476,40835.204253686476,40835.204253686476,0.8889920000000001,0.013252079282303444,1.67424,1.0,3.0,173516.00306827133,246335.12788173405,193325.19000553113,0.0
78,34231.237733819646,1182.9864610298914,32068.371190086633,33613.187588958855,35158.00398783106,35158.00398783106,35158.00398783106,0.8902053877551022,0.012502498474236743,1.59992,1.0,3.0,179008.95411211086,252012.32814758946,199002.39027138654,0.0
79,28916.86989902648,1044.4596614874079,28243.964575596474,28243.964575596474,29689.580549279548,29689.580549279548,29689.580549279548,0.891273142857143,0.011795942315913816,1.53452,1.0,2.0,184323.32194690403,257480.75158614098,204470.81370993805,0.0
80,23735.3504920422,919.1105803547886,23027.700270556714,23027.700270556714,24376.941845994254,24376.941845994254,24376.941845994254,0.8922364081632654,0.011121720008764494,1.47552,1.0,2.0,189504.84135388827,262793.39028942626,209783.45241322333,0.0
81,18499.410389856628,831.046003750838,17811.435965516954,17811.435965516954,19064.30314270896,19064.30314270896,19064.30314270896,0.8926386938775511,0.010829638023426746,1.45088,1.0,2.0,194740.78145607386,268106.02899271157,215096.09111650864,0.0
82,13257.749503391182,748.0306451165841,12595.17166047718,12595.17166047718,13751.664439423635,13751.664439423635,13751.664439423635,0.8930272653061225,0.010560156923347809,1.42708,1.0,2.0,199982.4423425393,273418.6676959969,220408.72981979395,0.0
83,8269.953218952192,671.9754536953911,7636.521195525929,7636.521195525929,8701.399185281603,8701.399185281603,8701.399185281603,0.8933851428571431,0.010302614873232693,1.40516,1.0,2.0,204970.2386269783,278468.93295013893,225458.995073936,0.0
84,3437.1996900775216,596.741039304178,2833.4777625654388,2833.4777625654388,3809.6159198414753,3809.6159198414753,3809.6159198414753,0.8937711020408164,0.009980872864318735,1.38152,1.0,2.0,209802.99215585296,283360.7162155791,230350.77833937612,0.0
85,-1398.968547550974,525.4349851199837,-1969.565670395059,-1969.565670395059,-1082.1673455986602,-1082.1673455986602,-1082.1673455986602,0.8941714285714287,0.009667057204862408,1.357,1.0,2.0,214639.16039348143,288252.4994810192,235242.56160481626,0.0
86,-6240.159459697824,456.6048557990821,-6772.609103355557,-6772.609103355557,-5973.950611038803,-5973.950611038803,-5973.950611038803,0.8945580408163267,0.009334118684794189,1.33332,1.0,2.0,219480.35130562828,293144.28274645936,240134.3448702564,0.0
87,-10675.636060263554,395.11229296430423,-11171.238126821823,-11171.238126821823,-10453.847607224998,-10453.847607224998,-10453.847607224998,0.8949524897959186,0.008992052125223714,1.30916,1.0,2.0,223915.82790619408,297624.17974264553,244614.2418664426,0.0
88,-15029.654485823698,336.34812072439064,-15485.545001619394,-15485.545001619394,-14847.864539755552,-14847.864539755552,-14847.864539755552,0.8953456326530614,0.008611519746625568,1.28508,1.0,2.0,228269.84633175423,302018.1966751761,249008.25879897317,0.0
89,-19388.292906330054,282.72434707195873,-19799.851876416975,-19241.881472286113,-19241.881472286113,-19241.881472286113,-19241.881472286113,0.895715918367347,0.008272674810570592,1.2624,1.0,2.0,232628.48475226053,306412.21360770665,253402.27573150373,0.0
90,-23620.514690018674,231.74265038659743,-23987.008305657244,-23506.398759341446,-23506.398759341446,-23506.398759341446,-23506.398759341446,0.8961234285714288,0.007872405999221347,1.23744,1.0,2.0,236860.70653594917,310676.730894762,257666.79301855905,0.0
91,-27378.92802999274,188.4233786756796,-27703.14997627764,-27291.198936578385,-27291.198936578385,-27291.198936578385,-27291.198936578385,0.8965231020408164,0.007467635139983955,1.21296,1.0,2.0,240619.11987592324,314461.53107199894,261451.59319579598,0.0
92,-31140.620500242807,147.80157017529075,-31419.291646898033,-31075.99911381532,-31075.99911381532,-31075.99911381532,-31075.99911381532,0.8969266938775512,0.0070292436550705,1.18824,1.0,2.0,244380.81234617328,318246.33124923584,265236.3933730329,0.0
93,-34905.92715428118,110.22337948438746,-35135.43331751842,-34860.79929105225,-34860.79929105225,-34860.79929105225,-34860.79929105225,0.8973172244897961,0.006552594383488025,1.16432,1.0,2.0,248146.11900021165,322031.1314264728,269021.1935502699,0.0
94,-38033.059096746656,81.10874974900108,-38220.10960939881,-38002.467292713336,-38002.467292713336,-38002.467292713336,-38002.467292713336,0.8977051428571431,0.006084407232310828,1.14056,1.0,2.0,251273.25094267714,325172.7994281339,272162.86155193095,0.0
95,-41021.17057798716,55.717022700503016,-41165.082207049105,-41001.850469535006,-41001.850469535006,-41001.850469535006,-41001.850469535006,0.8980675918367348,0.005572848090674329,1.11836,1.0,2.0,254261.36242391766,328172.1826049555,275162.2447287526,0.0
96,-44011.39754254587,32.97055546547666,-44001.23364635667,-44001.23364635667,-44001.23364635667,-44001.23364635667,-44001.23364635667,0.8984751020408166,0.0049466003790772616,1.0934,1.0,1.0,257251.58938847636,331171.5657817772,278161.6279055743,0.0
97,-46220.05809869123,18.195543480315035,-46215.19982276306,-46215.19982276306,-46215.19982276306,-46215.19982276306,-46215.19982276306,0.8988447346938777,0.0043267777334122775,1.07076,1.0,1.0,259460.24994462173,333385.53195818356,280375.59408198064,0.0
98,-48109.23535700914,7.503155278922674,-48107.599911381534,-48107.599911381534,-48107.599911381534,-48107.599911381534,-48107.599911381534,0.899222204081633,0.003568399616785211,1.04764,1.0,1.0,261349.42720293964,335277.9320468021,282267.99417059915,0.0
99,-50000.0,0.0,-50000.0,-50000.0,-50000.0,-50000.0,-50000.0,0.899604897959184,0.0025384662847312313,1.0242,1.0,1.0,263240.1918459305,337170.3321354205,284160.3942592176,0.0
100,-50000.0,0.0,-50000.0,-50000.0,-50000.0,-50000.0,-50000.0,0.9000000000000001,1.1102230246251565e-16,1.0,1.0,1.0,263240.1918459305,337170.3321354205,284160.3942592176,0.0
