v,mean_pnl,std_pnl,p10,p25,p50,p75,p90,mean_multiplier,std_multiplier,mean_rank,p10_rank,p90_rank,mean_regret,max_regret,p90_regret,prob_best_response,label,group
43,206243.708151918,16627.050392706595,187180.81110684804,192948.12566263767,204482.75477421688,216017.38388579612,227552.01299737534,0.7253931972789115,0.04706905520791318,11.694666666666667,8.0,15.0,6892.360425510397,37498.38044216068,14429.122219002194,0.11906666666666667,AI sigma = 2.5,ai_sigma
44,205170.78855633046,15756.836688850864,187292.9368430189,192926.00359300154,204192.1370929668,215458.27059293212,226724.40409289743,0.7395711564625851,0.045668636281197945,10.826266666666667,7.0,14.0,7965.28002109791,37993.26963570964,15524.46372167833,0.09293333333333334,AI sigma = 2.5,ai_sigma
45,203124.9213023673,14985.609173887167,181643.1050134232,192640.99723957977,203638.88946573637,214636.78169189295,220135.72780497128,0.751535238095238,0.044492708582598774,10.093466666666666,7.0,14.0,10011.147275061063,42704.25700697492,19004.04030855614,0.0468,AI sigma = 2.5,ai_sigma
46,204718.6947134533,13707.663436024413,186722.92413617537,197452.5750885233,202817.40056469722,213547.05151704513,224276.70246939303,0.7751738775510205,0.04171591186041899,8.6456,5.0,12.0,8417.373863975106,44905.59884572931,19148.406103513407,0.16573333333333334,AI sigma = 2.5,ai_sigma
47,200670.37058500506,13113.335075993564,180804.85103277102,191266.26071131023,201727.6703898494,212189.0800683886,217419.78490765824,0.782414149659864,0.04093048128801116,8.202133333333334,5.0,12.0,12465.697992423324,51226.033859846706,23348.990613401635,0.0272,AI sigma = 2.5,ai_sigma
48,195968.92761557782,12544.17654050754,180022.08877826118,190216.97359945838,195314.41601005694,205509.30083125414,210606.7432418527,0.787810612244898,0.04017757647799514,7.8716,5.0,11.0,17167.140961850564,57506.02581096816,28457.528613510447,0.006,AI sigma = 2.5,ai_sigma
49,190922.2592168195,12098.851361839546,174124.0865018955,184057.5640199851,193991.04153807467,198957.78029711943,203924.5190561642,0.7919531972789116,0.03977102012308463,7.617866666666667,5.0,11.0,22213.80936060887,63665.435390441446,34541.99586127541,0.0013333333333333333,AI sigma = 2.5,ai_sigma
50,189767.07420365667,10954.56262451598,177898.1544405118,182734.18954800276,192406.25976298473,197242.2948704757,202078.32997796664,0.8094574149659864,0.03698277577759458,6.545733333333334,4.0,9.0,23368.99437377173,64988.809862423775,36918.09938874192,0.007333333333333333,AI sigma = 2.5,ai_sigma
51,186263.78937675286,10048.619821172879,171738.74486103855,181149.40777291288,185854.73922885003,195265.40214072433,199970.7335966615,0.8197866666666667,0.03486664024787906,5.9130666666666665,3.0,9.0,26872.279200675555,71278.92309345084,41493.522001379635,0.0038666666666666667,AI sigma = 2.5,ai_sigma
52,180537.14830115097,9582.628469944064,170153.9630859486,174728.59089033198,179303.2186947153,188452.47430348198,193027.10210786536,0.8227711564625851,0.03419973902803677,5.730266666666667,3.0,8.0,32598.92027627741,77569.03632447793,47741.67341319451,0.0005333333333333334,AI sigma = 2.5,ai_sigma
53,174802.03842325922,9133.044160703595,163971.76932197926,168417.93595724116,177310.26922776498,181756.43586302688,186202.60249828882,0.8254835374149658,0.033536962805247664,5.564133333333333,3.0,8.0,38334.030154169144,79305.06345318537,53860.30150039436,0.0,AI sigma = 2.5,ai_sigma
54,169115.10335453908,8703.999257051337,157858.29019849413,162177.42350131998,170815.69010697168,175134.82340979754,179453.9567126234,0.8282655782312924,0.03290153379295579,5.3937333333333335,3.0,8.0,44020.965222889325,85545.57590910656,59592.003529006586,0.0,AI sigma = 2.5,ai_sigma
55,163374.25533953303,8307.748254773414,151744.811075009,155936.91104539883,164321.1109861784,168513.2109565682,172705.31092695802,0.8310062585034014,0.032355312888153825,5.225866666666667,3.0,8.0,49761.813237895345,91786.08836502771,65307.27028954036,0.0,AI sigma = 2.5,ai_sigma
18,11948.640854607409,6517.288380045684,7260.5951740702,7260.5951740702,7260.5951740702,16609.263773918385,16609.263773918385,0.10818721088435371,0.0113818034203685,49.498533333333334,49.0,50.0,201542.734074057,258654.35839529854,221578.76482236525,0.0,AI sigma = 3.5,ai_sigma
19,11585.080862378476,6861.125972049929,6342.9623117316005,6342.9623117316005,6342.9623117316005,15541.813301402057,24740.66429107258,0.10930394557823127,0.012177432088304163,49.43013333333333,48.0,50.0,201906.29406628592,259571.99125763716,222341.91604481672,0.0,AI sigma = 3.5,ai_sigma
20,19077.50542851457,10955.985289851193,5434.204855090764,14484.687280411694,14484.687280411694,23535.169705732682,32585.652131053546,0.12461170068027207,0.019763944154139075,48.492533333333334,47.0,50.0,194413.86950014986,260480.748714278,217225.88954585587,0.0,AI sigma = 3.5,ai_sigma
21,26193.192536054376,13539.148460010783,13427.561259421353,13427.561259421353,22329.675120392814,31231.788981364167,40133.902842335636,0.13973877551020403,0.024830880086268988,47.566,46.0,49.0,187298.18239261003,255776.6732550165,211921.0521536995,0.0,AI sigma = 3.5,ai_sigma
22,28639.562663712684,14337.235933524229,12370.43523843099,21124.180535052932,29877.92583167476,38631.6711282967,47385.41642491857,0.1466699319727891,0.026740248137444918,47.141466666666666,45.0,49.0,184851.8122649517,256685.43071165733,209980.69588274125,0.0,AI sigma = 3.5,ai_sigma
23,31741.326196290953,15255.783080074298,11313.309217440634,19918.68594971305,28524.06268198535,37129.439414257766,54340.192878802554,0.15508353741496594,0.028943998295450475,46.626133333333335,44.0,49.0,181750.04873237343,257594.18816829816,207598.56777577844,0.0,AI sigma = 3.5,ai_sigma
24,35310.554498496516,16170.200674653153,18721.52965732025,27179.56407668267,35637.598496045204,44095.63291540768,61011.70175413269,0.16467482993197274,0.03121331307383904,46.038666666666664,43.0,48.0,178180.8204301679,258496.65983487119,203921.40011697228,0.0,AI sigma = 3.5,ai_sigma
25,45196.37318099793,18215.199858696174,25848.88193742954,34161.08817714789,42473.29441686619,59097.70689630284,67409.91313602113,0.18698122448979587,0.03577762744626513,44.6724,42.0,47.0,168295.00174766648,242765.44495575514,195480.43976841902,0.0,AI sigma = 3.5,ai_sigma
26,55096.38580631798,19653.451589692173,32684.577858250545,40850.95591832466,57183.71203847295,65350.090098547065,81682.84621869528,0.21011265306122448,0.03929192068441536,43.2556,40.0,46.0,158394.98912234642,230458.90236521343,186040.83281160454,0.0,AI sigma = 3.5,ai_sigma
27,59153.802136072605,20073.636686096826,31208.067539353215,47249.16730021314,55269.717180643085,71310.81694150296,87351.91670236288,0.22219210884353743,0.04086164274775056,42.51573333333333,39.0,46.0,154337.5727925918,228686.77130736248,182556.08102180262,0.0,AI sigma = 3.5,ai_sigma
28,63353.4689941308,20516.810014246814,37606.27892124164,45481.00062202745,61230.44402359896,76979.88742517047,92729.33082674202,0.23501387755102038,0.042537163786980435,41.7304,38.0,45.0,150137.9059345336,228619.43482070556,178450.66882041527,0.0,AI sigma = 3.5,ai_sigma
29,68112.66027110585,20964.816574101023,43727.732028497296,51457.85425765171,66918.0987159605,82378.34317426936,97838.58763257816,0.249461768707483,0.04427908245567306,40.84546666666667,37.0,44.0,145378.71465755856,229649.70605607895,174282.20856537006,0.0,AI sigma = 3.5,ai_sigma
30,73548.7780668313,21451.4338068318,49579.00510473222,57165.97692223561,72339.92055724241,87513.86419224925,102687.80782725604,0.26586666666666664,0.04616169654351391,39.840666666666664,36.0,43.0,139942.5968618331,217743.65468665108,168566.99932255212,0.0,AI sigma = 3.5,ai_sigma
31,87855.10614354293,22494.856307818354,62587.79876351752,70031.62016936991,84919.26298107475,99806.90579277952,114694.54860448436,0.3023575510204081,0.049337959645149615,37.6056,34.0,41.0,125636.26878512147,202223.27707847062,155145.76284716558,0.0,AI sigma = 3.5,ai_sigma
32,95671.26177009958,22864.58014244635,67723.31978149741,82324.66176990024,96926.00375830298,111527.3457467058,126128.68773510854,0.3257654421768707,0.051132186059099596,36.171866666666666,32.0,40.0,117820.11315856481,195639.75845452573,147327.14034547337,0.0,AI sigma = 3.5,ai_sigma
33,110283.13008543912,23441.091050723346,79730.0605587257,94045.10172382646,108360.14288892725,122675.18405402798,136990.22521912877,0.3656108843537415,0.05346986937866212,33.73133333333333,30.0,38.0,103208.24484322529,183626.84871027997,133317.58545145649,0.0,AI sigma = 3.5,ai_sigma
34,124304.47388129318,23551.88973893711,91196.54443583911,105228.49916238216,126276.43125219666,140308.3859787397,154340.3407052827,0.40561523809523814,0.054806426658662075,31.281066666666668,27.0,36.0,89186.90104737123,171982.89991125988,117887.24393027411,0.0,AI sigma = 3.5,ai_sigma
35,145375.4838593146,23725.958512182075,115875.24481114664,129626.56044315881,143377.876075171,164004.8495231892,177756.1651552014,0.46392707482993195,0.05633825858119909,27.709466666666668,23.0,32.0,68115.8910693498,148700.85945304533,95313.48398043177,0.0,AI sigma = 3.5,ai_sigma
36,163057.1593648679,23342.59417959147,132696.0505395901,146166.72707707138,166372.74188329332,179843.41842077463,193314.0949582559,0.5164527891156463,0.05658269313822707,24.492266666666666,20.0,29.0,50434.215563796475,125703.73963786027,75499.35508760445,0.0013333333333333333,AI sigma = 3.5,ai_sigma
37,171854.23145085256,22754.934666705452,142079.92026296572,155269.95770591617,175055.01387034185,188245.05131329226,201435.0887562427,0.5492190476190476,0.05633177904497252,22.485333333333333,18.0,27.0,41637.14347781188,112679.87178599613,65687.03656998396,0.0034666666666666665,AI sigma = 3.5,ai_sigma
38,179683.58510180283,21966.009443358376,150902.51179727967,163811.91014569928,183176.0076683286,196085.4060167482,208994.80436516777,0.5809621768707484,0.05556087370249225,20.541066666666666,16.0,25.0,33807.78982686156,102462.60846306005,55368.06459814051,0.0056,AI sigma = 3.5,ai_sigma
39,185889.4086786637,21136.152252509553,159236.798913915,171869.96413135892,184503.12934880282,197136.29456624683,209769.45978369072,0.6097055782312925,0.05463081196772101,18.780533333333334,15.0,23.0,27601.966250000707,99478.08799673189,47009.48846592884,0.010933333333333333,AI sigma = 3.5,ai_sigma
40,196329.00784544944,19830.380333442547,173225.96963703563,185584.50082801338,197943.03201899113,210301.56320996888,222660.09440094663,0.6508375510204082,0.052394788112485144,16.2612,12.0,20.0,17162.367083214962,72031.8499767688,32604.76399244988,0.051333333333333335,AI sigma = 3.5,ai_sigma
41,205858.3966127859,18655.618361163393,180349.289698502,192433.18686301357,204517.08402752515,216600.9811920367,228684.87835654832,0.6913795918367347,0.05041114139209957,13.778,10.0,18.0,7632.978315878464,66468.99437744898,18915.418572857627,0.2748,AI sigma = 3.5,ai_sigma
42,206436.9681163422,17706.968821086415,181018.7101380133,192827.9732760587,204637.2364141041,216446.49955214944,228255.76269019488,0.7090579591836734,0.04896044149887276,12.6952,9.0,17.0,7054.406812322198,59345.67431598267,16433.864950510004,0.17466666666666666,AI sigma = 3.5,ai_sigma
43,206309.07105021694,16772.862784195437,187180.81110684804,192948.12566263767,204482.75477421688,216017.38388579612,227552.01299737534,0.725578231292517,0.047481831457631934,11.683333333333334,8.0,15.0,7182.303878447469,45278.14039602861,15083.468999521428,0.12293333333333334,AI sigma = 3.5,ai_sigma
44,205369.82358149652,15826.168748582222,187292.9368430189,192926.00359300154,204192.1370929668,215458.27059293212,226724.40409289743,0.7401480272108845,0.0458695840146182,10.790933333333333,7.0,14.0,8121.551347167878,38911.72341986172,16060.946269295731,0.0856,AI sigma = 3.5,ai_sigma
45,203323.61655525322,15006.830702973044,181643.1050134232,192640.99723957977,203638.88946573637,214636.78169189295,220135.72780497128,0.7521251700680273,0.04455571591839267,10.057333333333334,7.0,14.0,10167.758373411187,43170.08000358721,19004.04030855614,0.04613333333333333,AI sigma = 3.5,ai_sigma
46,205084.2181558966,13667.850356450233,186722.92413617537,197452.5750885233,208182.22604087117,213547.05151704513,224276.70246939303,0.7762862585034013,0.041594750516900474,8.577466666666666,5.0,12.0,8407.156772767808,42948.04060622922,19148.406103513407,0.17053333333333334,AI sigma = 3.5,ai_sigma
47,201057.442743111,13002.4652668754,186035.5558720406,191266.26071131023,201727.6703898494,212189.0800683886,217419.78490765824,0.7836223129251702,0.040584424802668696,8.128133333333333,5.0,11.0,12433.932185553394,44436.607186128094,23348.990613401635,0.026933333333333333,AI sigma = 3.5,ai_sigma
48,196380.80096235417,12383.989917500054,180022.08877826118,190216.97359945838,195314.41601005694,205509.30083125414,210606.7432418527,0.7891297959183674,0.03966451687014825,7.7908,5.0,11.0,17110.573966310218,51382.9112806046,28479.898867101903,0.007866666666666666,AI sigma = 3.5,ai_sigma
49,191241.45496106744,11892.472348091107,174124.0865018955,184057.5640199851,193991.04153807467,198957.78029711943,203924.5190561642,0.793002448979592,0.039092616557051936,7.5536,5.0,11.0,22249.919967596943,58195.83911784695,34362.17856541323,0.0016,AI sigma = 3.5,ai_sigma
50,190054.0122867011,10764.513414640931,177898.1544405118,182734.18954800276,192406.25976298473,197242.2948704757,202078.32997796664,0.8104261224489795,0.03634116665485441,6.4864,4.0,9.0,23437.362641963293,65008.76695508926,37484.53206832844,0.010266666666666667,AI sigma = 3.5,ai_sigma
51,186603.20061910778,9902.419474688739,171738.74486103855,181149.40777291288,185854.73922885003,195265.40214072433,199970.7335966615,0.8209643537414966,0.03435935517035656,5.840933333333333,3.0,9.0,26888.17430955664,71821.69479233157,41510.686628033756,0.005866666666666667,AI sigma = 3.5,ai_sigma
52,180881.1603120406,9462.686258950975,170153.9630859486,174728.59089033198,179303.2186947153,188452.47430348198,193027.10210786536,0.8239989115646259,0.03377167356277582,5.6550666666666665,3.0,8.0,32610.214616623805,78634.62262957392,47914.33888396053,0.00013333333333333334,AI sigma = 3.5,ai_sigma
53,175155.9532874261,9056.977980067617,163971.76932197926,168417.93595724116,177310.26922776498,181756.43586302688,186202.60249828882,0.8267831292517005,0.03325764425320318,5.484533333333333,3.0,8.0,38335.421641238325,85330.66107002902,53862.4233299515,0.0,AI sigma = 3.5,ai_sigma
54,169437.59864115005,8638.190799730584,157858.29019849413,162177.42350131998,170815.69010697168,175134.82340979754,179453.9567126234,0.8294846258503402,0.03265277467447965,5.319066666666667,3.0,8.0,44053.77628751435,91952.27352325837,59592.003529006586,0.0,AI sigma = 3.5,ai_sigma
55,163725.83279038302,8219.04934787902,151744.811075009,160129.01101578862,164321.1109861784,168513.2109565682,172705.31092695802,0.8323755102040816,0.032009866589422224,5.142,3.0,8.0,49765.542138281344,98573.88597648771,65647.18330264941,0.0,AI sigma = 3.5,ai_sigma
18,11848.921722875695,6621.3966912525575,7260.5951740702,7260.5951740702,7260.5951740702,16609.263773918385,16609.263773918385,0.10801306122448978,0.011563618350671595,49.5092,49.0,50.0,201392.78888803977,257675.97467601282,221424.2831824781,0.0,AI sigma = 5.0,ai_sigma
19,11534.79381030161,6957.068400606393,6342.9623117316005,6342.9623117316005,6342.9623117316005,15541.813301402057,24740.66429107258,0.109214693877551,0.012347714985439809,49.4356,48.0,50.0,201706.91680061384,258593.60753835144,222341.91604481672,0.0,AI sigma = 5.0,ai_sigma
20,19375.567983055138,11249.211466961928,5434.204855090764,14484.687280411694,14484.687280411694,23535.169705732682,32585.652131053546,0.125149387755102,0.02029290669248025,48.4596,47.0,50.0,193866.14262786033,256721.69547702232,216916.92626608146,0.0,AI sigma = 5.0,ai_sigma
21,26773.610359789713,13982.458246380915,13427.561259421353,13427.561259421353,22329.675120392814,31231.788981364167,49036.01670330705,0.14080326530612242,0.025643912913181167,47.5008,45.0,49.0,186468.10025112575,257630.45293366315,210849.14120997168,0.0,AI sigma = 5.0,ai_sigma
22,29321.18763080964,14695.402436909251,12370.43523843099,21124.180535052932,29877.92583167476,38631.6711282967,47385.41642491857,0.14794122448979588,0.0274082612202625,47.0636,45.0,49.0,183920.52298010586,249939.73243658192,208469.9453308071,0.0,AI sigma = 5.0,ai_sigma
23,32216.342991912392,15533.364802151771,11313.309217440634,19918.68594971305,28524.06268198535,45734.81614653014,54340.192878802554,0.15598476190476185,0.0294706395598476,46.570933333333336,44.0,49.0,181025.36761900308,250848.48989322275,206202.76425681877,0.0,AI sigma = 5.0,ai_sigma
24,35750.37228830337,16380.563164666795,18721.52965732025,27179.56407668267,35637.598496045204,44095.63291540768,61011.70175413269,0.1655238095238095,0.0316193754593282,45.986666666666665,43.0,48.0,177491.3383226121,251750.96155979577,203629.60146385198,0.0,AI sigma = 5.0,ai_sigma
25,45977.72056753144,18464.551862419157,25848.88193742954,34161.08817714789,42473.29441686619,59097.70689630284,67409.91313602113,0.1885159183673469,0.036267395505983756,44.5784,42.0,47.0,167263.99004338402,244331.9529203981,194523.7901794004,0.0,AI sigma = 5.0,ai_sigma
26,56252.744939624485,19948.15774463242,32684.577858250545,40850.95591832466,57183.71203847295,73516.46815862118,81682.84621869528,0.21242448979591833,0.03988110832976486,43.114,40.0,46.0,156988.96567129096,236500.85094746918,185731.86953183013,0.0,AI sigma = 5.0,ai_sigma
27,61112.95512019897,20598.77377390106,31208.067539353215,47249.16730021314,63290.26706107301,71310.81694150296,87351.91670236288,0.22618013605442175,0.04193060520886318,42.27146666666667,39.0,46.0,152128.75549071652,230802.68961876968,181435.7110563352,0.0,AI sigma = 5.0,ai_sigma
28,66578.95500277265,21185.61737762978,37606.27892124164,53355.722322813206,69105.16572438471,76979.88742517047,92729.33082674202,0.2417012244897959,0.04392379106180555,41.3208,38.0,45.0,146662.75560814282,223121.11546511558,175329.1560337351,0.0,AI sigma = 5.0,ai_sigma
29,72734.2426811763,21796.789428902834,43727.732028497296,59187.9764868061,74648.22094511491,90108.46540342376,97838.58763257816,0.2592228571428571,0.04603626428020476,40.2476,37.0,44.0,140507.46792973916,224585.18511538304,169500.33479507302,0.0,AI sigma = 5.0,ai_sigma
30,79577.89167114066,22326.010999659902,49579.00510473222,64752.948739739004,79926.89237474585,95100.83600975265,110274.77964475949,0.2788408163265306,0.048043713724405177,39.046,35.0,43.0,133663.8189397748,219151.56774504104,162799.06425763632,0.0,AI sigma = 5.0,ai_sigma
31,94345.12589992545,23387.228886508263,62587.79876351752,77475.44157522236,92363.08438692713,107250.72719863197,122138.37001033677,0.31659210884353745,0.05129520007706731,36.73373333333333,33.0,41.0,118896.58471099004,201708.03114583786,148880.25682384917,0.0,AI sigma = 5.0,ai_sigma
32,101952.75909351047,23694.160798800716,75023.99077569884,82324.66176990024,104226.67475250442,118828.01674090722,133429.35872930996,0.3398127891156462,0.05298738183385143,35.31146666666667,31.0,39.0,111288.951517405,199913.65522063736,140627.28191223976,0.0,AI sigma = 5.0,ai_sigma
33,115695.16998192489,24101.670332296595,86887.58114127608,101202.62230637687,115517.66347147766,129832.70463657839,144147.74580167918,0.377955918367347,0.054976671592925186,32.9752,29.0,37.0,97546.54062899058,182781.94644692363,126366.68404987687,0.0,AI sigma = 5.0,ai_sigma
34,128083.74702097542,24198.28348435505,98212.52179911066,112244.4765256537,126276.43125219666,147324.36334201123,161356.31806855422,0.41440979591836735,0.05631061726899333,30.7424,26.0,35.0,85157.96358994005,165123.1277074418,113683.37783083692,0.0,AI sigma = 5.0,ai_sigma
35,147032.9757701598,23906.93159548843,115875.24481114664,129626.56044315881,150253.53389117704,164004.8495231892,177756.1651552014,0.46786285714285714,0.05676798656703854,27.4684,23.0,32.0,66208.73484075566,156512.32211601763,93139.30968640203,0.0,AI sigma = 5.0,ai_sigma
36,163054.46522956045,23534.34196710722,132696.0505395901,146166.72707707138,159637.40361455266,179843.41842077463,193314.0949582559,0.5164462585034014,0.0570474917864606,24.49266666666667,20.0,29.0,50187.24538135503,138849.59910398163,76026.88178460137,0.0009333333333333333,AI sigma = 5.0,ai_sigma
37,170740.11295483797,22922.159173630644,142079.92026296572,155269.95770591617,168459.99514886664,188245.05131329226,201435.0887562427,0.5464609523809524,0.05674575755613905,22.65426666666667,18.0,27.0,42501.59765607748,117632.26230440591,66980.37962923349,0.002266666666666667,AI sigma = 5.0,ai_sigma
38,177991.59329160335,22176.31783614146,150902.51179727967,163811.91014569928,176721.30849411883,196085.4060167482,208994.80436516777,0.5766824489795919,0.05609282822432407,20.8032,16.0,25.0,35250.11731931216,108922.99707114461,57446.691486000345,0.0041333333333333335,AI sigma = 5.0,ai_sigma
39,184776.84792851415,21440.794806642498,159236.798913915,171869.96413135892,184503.12934880282,197136.29456624683,209769.45978369072,0.6068299319727892,0.055418224449111854,18.956666666666667,15.0,23.0,28464.86268240133,93581.54451834821,49083.40016925597,0.0108,AI sigma = 5.0,ai_sigma
40,196151.04499629937,20286.85299965894,173225.96963703563,185584.50082801338,197943.03201899113,210301.56320996888,222660.09440094663,0.6503673469387755,0.0536008561869948,16.29,12.0,20.0,17090.665614616108,69924.78497785458,33327.3761652057,0.061066666666666665,AI sigma = 5.0,ai_sigma
