v,mean_pnl,mean_multiplier,p_higher,quantal_prob,field
51,181761.21550718282,0.8041636631006432,0.11979542112419594,0.009492139360572272,non_rational_only
52,175931.8372301361,0.8063351193913746,0.11708110076078182,0.007240392060513537,non_rational_only
53,170183.17750721524,0.8085228653741504,0.11434641828231196,0.005769728319716312,non_rational_only
54,164532.19583068648,0.810941968438487,0.1113225394518913,0.00477139118348067,non_rational_only
55,158904.36315471283,0.8135978397862028,0.10800270026724645,0.0038504829725240822,non_rational_only
56,153294.132536191,0.8164903982515384,0.10438700218557706,0.003382794793372014,non_rational_only
57,147703.38822996593,0.8196134307958094,0.10048321150523831,0.002935485559029359,non_rational_only
58,142305.81935984906,0.8229541985511516,0.09630725181106048,0.0025161011168187675,non_rational_only
59,136902.74508449002,0.8264933389779764,0.09188332627752949,0.0021301985231693106,non_rational_only
60,131484.04930097103,0.8302050969224146,0.08724362884698178,0.0017813772980929767,non_rational_only
61,126039.16363056912,0.8340578950803751,0.08242763114953122,0.0,non_rational_only
62,120680.98611484529,0.8380152294698852,0.07748096316264352,0.0,non_rational_only
63,115375.0783610337,0.8420368502983657,0.07245393712704284,0.0,non_rational_only
64,110014.76677109223,0.8460801655823346,0.06739979302208177,0.0,non_rational_only
65,104591.687618484,0.8501017864108151,0.06237276698648109,0.0,non_rational_only
66,99138.10539074268,0.8540591208003253,0.05742609899959339,0.0,non_rational_only
67,93818.45573295973,0.8579119189582858,0.05261010130214283,0.0,non_rational_only
68,88422.32467893857,0.8616236769027239,0.047970403871595124,0.0,non_rational_only
69,82947.81526707314,0.8651628173295487,0.04354647833806413,0.0,non_rational_only
70,77394.76680482087,0.868503585084891,0.0393705186438863,0.0,non_rational_only
71,72002.636624721,0.8716266176291619,0.03546672796354755,0.0,non_rational_only
72,66578.58242603461,0.8745191760944975,0.03185102988187816,0.0,non_rational_only
73,61085.99450687223,0.8771750474422134,0.02853119069723331,0.0,non_rational_only
74,55529.59589840358,0.8795941505065499,0.025507311866812654,0.0,non_rational_only
75,50121.048343513656,0.8817818964893258,0.02277262938834279,0.0,non_rational_only
76,44769.64426734464,0.8837483664945898,0.02031454188176285,0.0,non_rational_only
77,39372.49247103304,0.8855073744237805,0.018115781970274414,0.0,non_rational_only
78,33935.08614678419,0.8870754831559994,0.01615564605500086,0.0,non_rational_only
79,28668.760226789644,0.8884710361893199,0.014411204763350227,0.0,non_rational_only
80,23526.83464274826,0.8897132570399896,0.01285842870001308,0.0,non_rational_only
81,18314.387145559813,0.8902275941879901,0.012215507265012415,0.0,non_rational_only
82,13095.867454062449,0.8907419313359907,0.01157258583001175,0.0,non_rational_only
83,8131.099991848088,0.8912562684839912,0.010929664395011085,0.0,non_rational_only
84,3317.5930862909954,0.8917706056319917,0.01028674296001042,0.0,non_rational_only
85,-1501.504987829183,0.8922849427799923,0.009643821525009755,0.0,non_rational_only
86,-6326.194230512439,0.8927992799279928,0.00900090009000909,0.0,non_rational_only
87,-10747.648405079686,0.8933136170759933,0.008357978655008425,0.0,non_rational_only
88,-15088.931861072218,0.8938279542239939,0.007715057220007759,0.0,non_rational_only
89,-19435.237552925522,0.8943422913719944,0.007072135785007094,0.0,non_rational_only
90,-23657.8059071457,0.8948566285199949,0.006429214350006429,0.0,non_rational_only
91,-27407.998736313097,0.8953709656679955,0.005786292915005764,0.0,non_rational_only
92,-31162.51748398918,0.895885302815996,0.005143371480005099,0.0,non_rational_only
93,-34921.362150173954,0.8963996399639965,0.004500450045004434,0.0,non_rational_only
94,-38043.60580441806,0.896913977111997,0.0038575286100037687,0.0,non_rational_only
95,-41027.56203935046,0.8974283142599976,0.0032146071750031036,0.0,non_rational_only
96,-44014.94648359158,0.8979426514079981,0.0025716857400024384,0.0,non_rational_only
97,-46221.6887005261,0.8984569885559986,0.0019287643050017733,0.0,non_rational_only
98,-48109.76287063588,0.8989713257039992,0.0012858428700011082,0.0,non_rational_only
99,-50000.0,0.8994856628519997,0.0006429214350004431,0.0,non_rational_only
100,-50000.0,0.9000000000000002,-2.220446049250313e-16,0.0,non_rational_only
