v,mean_pnl,std_pnl,p10,p25,p50,p75,p90,mean_mult,std_mult,mu,sigma
92,-31075.99911381532,0.0,-31075.99911381532,-31075.99911381532,-31075.99911381532,-31075.99911381532,-31075.99911381532,0.9000000000000002,2.220446049250313e-16,10,5
94,-38002.46729271334,7.275957614183426e-12,-38002.467292713336,-38002.467292713336,-38002.467292713336,-38002.467292713336,-38002.467292713336,0.9000000000000002,2.220446049250313e-16,10,5
96,-44001.233646356646,2.1827872842550278e-11,-44001.23364635667,-44001.23364635667,-44001.23364635667,-44001.23364635667,-44001.23364635667,0.9000000000000002,2.220446049250313e-16,10,5
98,-48107.59991138153,7.275957614183426e-12,-48107.599911381534,-48107.599911381534,-48107.599911381534,-48107.599911381534,-48107.599911381534,0.9000000000000002,2.220446049250313e-16,10,5
100,-50000.0,0.0,-50000.0,-50000.0,-50000.0,-50000.0,-50000.0,0.9000000000000002,2.220446049250313e-16,10,5
0,94005.94401584489,27098.245294549506,60592.00800745528,72711.68011786141,96951.0243386736,109070.69644907964,133310.04066989172,0.19399183673469383,0.036504315241310654,10,8
2,123083.08358711729,31165.499386605108,81329.23918337742,104938.99004780484,116743.86548001852,140353.6163444459,163963.36720887333,0.23937959183673468,0.043102909700580457,10,8
4,158649.6802956842,34230.11904891056,112317.39956223409,135300.39419051498,158283.38881879597,181266.38344707686,204249.37807535782,0.2964387755102041,0.048632399350182196,10,8
6,199878.10567136138,36773.77172874124,152654.1080399096,175015.94065120994,197377.77326251034,219739.6058738107,242101.4384851111,0.3648755102040816,0.05369757660681159,10,8
8,243516.71731817524,37580.800200431724,190506.16844966283,212246.83904398262,244857.84493546234,266598.5155297821,288339.1861241019,0.44084285714285715,0.056443896911378064,10,8
10,286656.4532805535,36681.3171248921,236525.12035628187,257651.3965115837,289340.8107445365,310467.08689983847,331593.3630551403,0.5203408163265306,0.056695145186457116,10,8
12,325836.816389095,34713.342866228835,279504.8452157094,300018.7655404229,330789.646027493,351303.5663522065,371817.4866769199,0.5982387755102041,0.055255011815178764,10,8
14,358998.18214801763,31291.10236359435,319460.890915775,339364.5079348067,359268.1249538383,379171.74197286996,399075.35899190156,0.6709857142857143,0.0513349046197601,10,8
16,383505.6037937868,27134.060615703453,346866.0605612978,366166.5376706618,385467.01478002575,404767.4918893898,414417.7304440718,0.7334163265306122,0.04590612644097366,10,8
18,399481.64911355136,22774.040651354055,371858.67056814994,381207.3391679982,399904.6763676945,418602.01356739097,427950.68216723914,0.7849755102040817,0.03977262300910734,10,8
20,406828.7569695904,18536.786866691415,385554.4667185704,394604.94914389134,403655.4315692123,421756.39641985414,430806.87884517515,0.8240918367346939,0.033439258153243084,10,8
22,407187.32669748215,14461.82072176339,388781.4829931726,397535.22828979447,406288.97358641634,415042.7188830383,423796.4641796602,0.8526959183673469,0.02697261009110966,10,8
24,401720.35874349735,10911.634571261084,390875.0441092698,399333.07852863235,399333.07852863235,407791.1129479948,416249.1473673573,0.8719551020408163,0.021062711148289653,10,8
26,392245.09985702694,7889.169707398096,383838.83444143814,392005.21250151226,392005.21250151226,400171.5905615864,400171.5905615864,0.8841530612244899,0.015772325232253692,10,8
28,380007.0531931077,5602.348431347441,376219.3120550297,376219.3120550297,384094.0337558154,384094.0337558154,384094.0337558154,0.8915265306122451,0.011615256594493929,10,8
30,366244.0348236893,3897.193396609434,360644.8496223719,368231.8214398753,368231.8214398753,368231.8214398753,368231.8214398753,0.895722448979592,0.008386435170985007,10,8
32,351555.156358562,2568.173816305796,345148.81756115035,352449.48855535174,352449.48855535174,352449.48855535174,352449.48855535174,0.8980000000000002,0.005743221200186264,10,8
34,336362.85741799866,1684.0391874254938,336755.752150342,336755.752150342,336755.752150342,336755.752150342,336755.752150342,0.8990857142857145,0.003918843508483291,10,8
36,321127.24161501287,1047.7240303748758,321285.52206432825,321285.52206432825,321285.52206432825,321285.52206432825,321285.52206432825,0.8996163265306125,0.0025396940394945304,10,8
38,305754.77917355637,630.3538186761941,305815.29197831464,305815.29197831464,305815.29197831464,305815.29197831464,305815.29197831464,0.8998469387755105,0.0015944183670530646,10,8
40,290606.52648074285,396.0511273816769,290632.01595132425,290632.01595132425,290632.01595132425,290632.01595132425,290632.01595132425,0.8999326530612247,0.0010464254619402735,10,8
42,275480.2679002924,271.90071052529385,275492.8152423765,275492.8152423765,275492.8152423765,275492.8152423765,275492.8152423765,0.8999653061224492,0.0007518157944301807,10,8
44,260517.17152604336,178.04412253357415,260522.80459279328,260522.80459279328,260522.80459279328,260522.80459279328,260522.80459279328,0.8999836734693879,0.0005160320205478883,10,8
46,245731.98075498163,146.86669051093259,245736.00437408878,245736.00437408878,245736.00437408878,245736.00437408878,245736.00437408878,0.8999877551020411,0.00044695275348564077,10,8
48,230994.60134334312,98.69303767179211,230996.51288424706,230996.51288424706,230996.51288424706,230996.51288424706,230996.51288424706,0.8999938775510207,0.00031610261989693415,10,8
50,216586.43530043957,2.9103830456733704e-11,216586.43530043954,216586.43530043954,216586.43530043954,216586.43530043954,216586.43530043954,0.9000000000000002,2.220446049250313e-16,10,8
52,202176.35771663205,0.0,202176.35771663205,202176.35771663205,202176.35771663205,202176.35771663205,202176.35771663205,0.9000000000000002,2.220446049250313e-16,10,8
54,188092.2233182751,0.0,188092.2233182751,188092.2233182751,188092.2233182751,188092.2233182751,188092.2233182751,0.9000000000000002,2.220446049250313e-16,10,8
56,174086.79841720016,5.820766091346741e-11,174086.7984172001,174086.7984172001,174086.7984172001,174086.7984172001,174086.7984172001,0.9000000000000002,2.220446049250313e-16,10,8
58,160309.68397581668,2.9103830456733704e-11,160309.68397581665,160309.68397581665,160309.68397581665,160309.68397581665,160309.68397581665,0.9000000000000002,2.220446049250313e-16,10,8
60,146741.31726769943,0.0,146741.31726769943,146741.31726769943,146741.31726769943,146741.31726769943,146741.31726769943,0.9000000000000002,2.220446049250313e-16,10,8
62,133305.60364700507,0.0,133305.60364700507,133305.60364700507,133305.60364700507,133305.60364700507,133305.60364700507,0.9000000000000002,2.220446049250313e-16,10,8
64,120212.34624364763,5.820766091346741e-11,120212.34624364757,120212.34624364757,120212.34624364757,120212.34624364757,120212.34624364757,0.9000000000000002,2.220446049250313e-16,10,8
66,107160.42552872562,1.4551915228366852e-11,107160.42552872564,107160.42552872564,107160.42552872564,107160.42552872564,107160.42552872564,0.9000000000000002,2.220446049250313e-16,10,8
68,94587.59148642764,2.9103830456733704e-11,94587.59148642761,94587.59148642761,94587.59148642761,94587.59148642761,94587.59148642761,0.9000000000000002,2.220446049250313e-16,10,8
70,82014.75744412954,1.4551915228366852e-11,82014.75744412953,82014.75744412953,82014.75744412953,82014.75744412953,82014.75744412953,0.9000000000000002,2.220446049250313e-16,10,8
72,69975.3270728666,0.0,69975.3270728666,69975.3270728666,69975.3270728666,69975.3270728666,69975.3270728666,0.9000000000000002,2.220446049250313e-16,10,8
74,57977.79436557995,7.275957614183426e-12,57977.794365579946,57977.794365579946,57977.794365579946,57977.794365579946,57977.794365579946,0.9000000000000002,2.220446049250313e-16,10,8
76,46512.40451954187,1.4551915228366852e-11,46512.40451954186,46512.40451954186,46512.40451954186,46512.40451954186,46512.40451954186,0.9000000000000002,2.220446049250313e-16,10,8
78,35158.00398783106,0.0,35158.00398783106,35158.00398783106,35158.00398783106,35158.00398783106,35158.00398783106,0.9000000000000002,2.220446049250313e-16,10,8
80,24376.941845994264,1.0913936421275139e-11,24376.941845994254,24376.941845994254,24376.941845994254,24376.941845994254,24376.941845994254,0.9000000000000002,2.220446049250313e-16,10,8
82,13751.66443942364,3.637978807091713e-12,13751.664439423635,13751.664439423635,13751.664439423635,13751.664439423635,13751.664439423635,0.9000000000000002,2.220446049250313e-16,10,8
84,3809.615919841475,4.547473508864641e-13,3809.6159198414753,3809.6159198414753,3809.6159198414753,3809.6159198414753,3809.6159198414753,0.9000000000000002,2.220446049250313e-16,10,8
86,-5973.950611038802,9.094947017729282e-13,-5973.950611038803,-5973.950611038803,-5973.950611038803,-5973.950611038803,-5973.950611038803,0.9000000000000002,2.220446049250313e-16,10,8
88,-14847.864539755561,9.094947017729282e-12,-14847.864539755552,-14847.864539755552,-14847.864539755552,-14847.864539755552,-14847.864539755552,0.9000000000000002,2.220446049250313e-16,10,8
90,-23506.398759341446,0.0,-23506.398759341446,-23506.398759341446,-23506.398759341446,-23506.398759341446,-23506.398759341446,0.9000000000000002,2.220446049250313e-16,10,8
92,-31075.99911381532,0.0,-31075.99911381532,-31075.99911381532,-31075.99911381532,-31075.99911381532,-31075.99911381532,0.9000000000000002,2.220446049250313e-16,10,8
94,-38002.46729271334,7.275957614183426e-12,-38002.467292713336,-38002.467292713336,-38002.467292713336,-38002.467292713336,-38002.467292713336,0.9000000000000002,2.220446049250313e-16,10,8
96,-44001.233646356646,2.1827872842550278e-11,-44001.23364635667,-44001.23364635667,-44001.23364635667,-44001.23364635667,-44001.23364635667,0.9000000000000002,2.220446049250313e-16,10,8
98,-48107.59991138153,7.275957614183426e-12,-48107.599911381534,-48107.599911381534,-48107.599911381534,-48107.599911381534,-48107.599911381534,0.9000000000000002,2.220446049250313e-16,10,8
100,-50000.0,0.0,-50000.0,-50000.0,-50000.0,-50000.0,-50000.0,0.9000000000000002,2.220446049250313e-16,10,8
0,151371.3820324244,34306.17632099918,109070.69644907964,133310.04066989172,145429.71278029776,169669.05700110993,193908.40122192205,0.271269387755102,0.04621419068036966,10,12
2,176089.9254966149,36226.270867572035,128548.74091223223,152158.49177665965,175768.24264108704,199377.99350551446,222987.74436994194,0.3126897959183673,0.05010212294768613,10,12
4,202591.72958779306,37495.03520758567,158283.38881879597,181266.38344707686,204249.37807535782,227232.37270363874,250215.36733191973,0.358869387755102,0.0532710249490787,10,12
6,229712.98321845068,37965.897411782375,186196.8569568602,208558.6895681606,230920.5221794609,253282.3547907613,275644.18740206165,0.4084408163265306,0.05543833522853376,10,12
8,256691.56369833302,37991.037464172354,212246.83904398262,233987.50963830244,255728.1802326223,277468.85082694207,299209.52142126183,0.460630612244898,0.05706004637334498,10,12
10,282325.5666687166,36813.80615642118,236525.12035628187,257651.3965115837,278777.6726668856,310467.08689983847,331593.3630551403,0.5136469387755103,0.056899922044730225,10,12
12,305813.94803215447,35355.31913916015,258990.92489099602,279504.8452157094,310275.7257027796,330789.646027493,351303.5663522065,0.5663673469387756,0.05627687844100562,10,12
14,326234.3405825642,33337.25822482383,279653.6568777117,299557.2738967433,329412.6994252908,349316.31644432247,369219.93346335413,0.617234693877551,0.05469174436138539,10,12
16,343132.6245204552,30578.01507381505,298614.8677878877,327565.5834519338,346866.0605612978,366166.5376706618,385467.01478002575,0.6651122448979593,0.05173270031983968,10,12
18,355754.4203213365,27749.8627915211,315766.6589690608,334463.9961687572,353161.33336845355,371858.67056814994,390556.00776784634,0.7086102040816327,0.04846240718798414,10,12
20,364312.98446634214,24657.525715586162,331251.57216664474,349352.5370172866,367453.50186792854,385554.4667185704,394604.94914389134,0.747395918367347,0.044480706055120306,10,12
22,368856.86447989906,21595.118814732643,336259.0112134412,353766.501806685,371273.99239992874,380027.7376965507,397535.22828979447,0.7812061224489796,0.04027685938496036,10,12
24,369273.22420221806,18697.487069258976,348584.87201245734,357042.90643181984,373958.9752705448,382417.0096899073,390875.0441092698,0.8093224489795918,0.03609173004894425,10,12
26,366134.12680719746,15931.295497864885,343006.94414106745,359339.70026121574,367506.07832128985,375672.45638136397,383838.83444143814,0.8319510204081633,0.03185044602701743,10,12
28,360301.5464771039,13210.225557451098,344720.4252518866,352595.14695267234,360469.86865345814,368344.59035424393,376219.3120550297,0.8506714285714285,0.02738854275153168,10,12
30,351866.7232295205,10896.225508424177,337883.93416986166,345470.90598736505,353057.8778048685,360644.8496223719,368231.8214398753,0.8647836734693879,0.02344776856964135,10,12
