v,scenario,N,mean_pnl,std_pnl,p10,p25,p50,p75,p90
88,conservative,50,-16036.692224808317,850.553276563567,-17398.586387210933,-16760.90592534709,-16123.225463483242,-15485.545001619394,-14847.864539755552
90,conservative,50,-24054.67812977851,509.2137775444456,-24948.22739828885,-24467.617851973046,-23987.008305657244,-23506.398759341446,-23506.398759341446
92,conservative,50,-31429.247130357428,346.76947184082985,-31762.58417998075,-31762.58417998075,-31419.291646898033,-31075.99911381532,-31075.99911381532
94,conservative,50,-38205.810509192575,207.57002100173233,-38437.75192608428,-38220.10960939881,-38220.10960939881,-38002.467292713336,-38002.467292713336
96,conservative,50,-44093.77515941132,100.68279416453395,-44218.87596304214,-44110.05480469941,-44110.05480469941,-44001.23364635667,-44001.23364635667
98,conservative,50,-48133.41207694403,29.709115564701666,-48176.25841799808,-48141.929164689805,-48141.929164689805,-48107.599911381534,-48107.599911381534
100,conservative,50,-50000.0,0.0,-50000.0,-50000.0,-50000.0,-50000.0,-50000.0
0,central,50,35923.627393934825,11913.994241673141,24232.991676237143,24232.991676237143,36352.663786643185,48472.335897049314,48472.335897049314
2,central,50,36602.927145806134,12779.804392919326,22304.86202230891,22304.86202230891,34109.73745452259,45914.61288673636,57719.48831894995
4,central,50,37590.49082784145,13869.96667694198,20385.421049110344,31876.918363250792,31876.918363250792,43368.41567739131,54859.91299153169
6,central,50,39202.468378107726,14837.882213946577,18483.112372107367,29664.02867775754,40844.94498340778,52025.861289057866,63206.77759470811
8,central,50,41062.97285136792,16018.888286775576,27451.13899226427,27451.13899226427,38321.47428942422,49191.809586584044,60062.144883744
10,central,50,50776.56251602104,18701.9541996785,25262.358803262934,35825.49688091394,46388.6349585648,67514.91111386672,78078.04919151771
12,central,50,53670.17344898801,19455.230265725277,33337.80131914833,43594.76148150496,53851.72164386172,64108.68180621842,74365.64196857519
14,central,50,56782.90530710479,20495.350365242422,30858.4441398161,40810.252649331844,50762.06115884772,70665.6781778794,80617.48668739521
16,central,50,69141.84519610413,22437.91283321156,38058.4268114733,57358.90392083736,67009.14247551943,86309.61958488342,95959.85813956542
18,central,50,73002.30250192272,22847.815486103893,44655.269573462996,54003.93817331118,72701.27537300761,91398.61257270398,100747.28117255218
20,central,50,83697.34657981108,24260.1439461231,50686.616981695464,68787.58183233738,86888.54668297924,95939.02910830016,114039.9939589421
22,central,50,95887.29298991153,25283.543494660782,64892.9070181624,82400.39761140617,91154.14290802804,108661.63350127186,126169.12409451563
24,central,50,99589.64254428694,25163.564697352587,69469.73617349517,77927.77059285765,103301.87385094512,120217.94268967008,128675.97710903262
26,central,50,108778.88862202127,25138.75406171151,73516.46815862118,89849.22427876946,106181.98039891769,122514.73651906598,138847.49263921427
28,central,50,111831.83072850814,24946.460074315815,76979.88742517047,92729.33082674202,108478.77422831353,132102.9393306709,147852.38273224237
30,central,50,126397.85345413597,25148.09361007312,95100.83600975265,110274.77964475949,125448.72327976633,140622.6669147731,155796.61054977993
32,central,50,134483.57562087267,24732.092359093742,104226.67475250442,118828.01674090722,133429.35872930996,148030.70071771278,162632.04270611552
34,central,50,138550.18205150386,24521.819127234827,105228.49916238216,119260.45388892514,140308.3859787397,154340.3407052827,168372.29543182574
36,central,50,137191.8888339745,23853.12583171954,105754.69746462753,119225.37400210879,139431.38880833075,152902.06534581204,166372.74188329332
38,central,50,140655.0313883042,22601.519948763038,112174.31675202094,125083.71510044055,137993.1134488601,157357.21097148943,170266.60931990904
40,central,50,142049.72092811562,21735.95466533589,111433.31368214687,129971.11046861351,142329.64165959126,154688.172850569,167046.70404154676
42,central,50,142561.2542658115,20699.105492147064,116067.76287876355,127877.02601680893,145590.92072387706,157400.18386192244,169209.44699996783
44,central,50,136855.02047034926,19698.16252867053,114063.0690932445,125329.2025932098,136595.3360931751,147861.46959314038,164760.6698430883
46,central,50,130796.22799470484,18612.875152192206,106250.54199356618,116980.19294591408,133074.66937443594,143804.3203267838,154533.9712791317
48,central,50,129430.48259731129,17620.39192720509,108657.89502988098,118852.77985107817,129047.66467227534,139242.5494934725,149437.43431466972
50,central,50,125864.83470146275,16293.677932875342,105357.62782814729,115029.69804312926,124701.76825811117,139209.8735805841,144045.90868807503
52,central,50,118754.81746423861,15364.584358718064,96959.91821581504,106109.17382458175,119833.05723773176,128982.3128464985,138131.5684552652
54,central,50,114983.54964133275,14349.098938656032,97390.4239589322,106028.6905645839,114666.9571702356,123305.22377588731,131943.490381539
56,central,50,107452.63259452615,13455.379407924434,88720.39902017149,96850.53229607898,109045.73220994024,117175.8654858477,125305.99876175518
58,central,50,99928.58147459112,12551.101198726798,84006.85078731173,91637.13410616221,99267.41742501274,106897.70074386321,114527.98406271369
60,central,50,95168.85996792649,11352.410475898361,78930.25099856038,86068.25797425924,96775.26843780754,103913.27541350634,111051.28238920518
62,central,50,87266.21908149253,10534.95618668948,73450.71266022789,80101.25610320317,86751.7995461784,93402.3429891536,100052.88643212884
64,central,50,79828.56007010028,9588.704615297996,67720.5569258787,73896.06155149855,80071.56617711844,86247.07080273831,92422.57542835816
66,central,50,73722.10384348728,8582.498232689242,61544.70111222478,67246.66666428738,72948.63221634999,78650.59776841258,84352.5633204752
68,central,50,65923.97031124432,7623.156200042218,55244.029177195596,60489.8374850932,65735.64579299079,70981.4541008884,76227.26240878599
70,central,50,59406.40701054576,6527.935847038679,50882.02552986768,55671.67659360026,60461.32765733286,62856.15318919915,67645.80425293175
72,central,50,50938.37127470502,5804.745564388086,43858.24907060992,46034.67223746465,50387.51857117409,54740.364904883536,59093.211238592994
74,central,50,42244.278942765486,5063.839371148323,36431.205013718194,38389.98586388743,42307.54756422594,46225.10926456445,48183.8901147337
76,central,50,34958.753568704524,4197.805838194081,29004.485332323384,32506.069169767085,36007.653007210785,37758.44492593262,39509.23684465447
78,central,50,25975.46083129471,3526.8449991979824,21254.656397981104,24344.289195725534,25889.105594597757,28978.738392342188,30523.55479121441
80,central,50,18044.681284150804,2794.745980168277,14932.250817931483,16281.49239336903,17630.73396880657,20329.217119681634,21678.458695119174
82,central,50,8909.082226141121,2280.2033831462227,5656.214986798412,7969.200544691332,9125.693323637795,10282.186102584252,11438.678881530715
84,central,50,217.1346596184788,1783.982124638566,-2047.2130238147365,-1071.0748665387073,-94.93670926267077,1857.3396052894022,2833.4777625654388
86,central,50,-8605.210879825585,1408.2708847022311,-10765.901564939333,-9168.584580305826,-8369.926087989072,-7571.267595672311,-6772.609103355557
88,central,50,-16728.89436616152,1061.556982543466,-18036.266849074775,-17398.586387210933,-16760.90592534709,-16123.225463483242,-15485.545001619394
90,central,50,-24411.098169326313,639.0065386431623,-25428.83694460465,-24948.22739828885,-24467.617851973046,-23987.008305657244,-23506.398759341446
92,central,50,-31637.282405405553,429.0985013834339,-32105.876713063466,-31762.58417998075,-31419.291646898033,-31419.291646898033,-31075.99911381532
94,central,50,-38300.44138848741,254.07959565179098,-38655.394242769755,-38437.75192608428,-38220.10960939881,-38002.467292713336,-38002.467292713336
96,central,50,-44126.50856384082,115.7776610674258,-44327.697121384874,-44218.87596304214,-44110.05480469941,-44001.23364635667,-44001.23364635667
98,central,50,-48140.2470312777,33.463521513689955,-48176.25841799808,-48141.929164689805,-48141.929164689805,-48107.599911381534,-48107.599911381534
100,central,50,-50000.0,0.0,-50000.0,-50000.0,-50000.0,-50000.0,-50000.0
0,sophisticated,50,35198.87100173254,11460.218397285074,24232.991676237143,24232.991676237143,36352.663786643185,36352.663786643185,48472.335897049314
2,sophisticated,50,35342.166449645716,12154.440081877008,22304.86202230891,22304.86202230891,34109.73745452259,45914.61288673636,45914.61288673636
4,sophisticated,50,36041.43698989531,13287.799963019344,20385.421049110344,20385.421049110344,31876.918363250792,43368.41567739131,54859.91299153169
6,sophisticated,50,37415.75795246483,14340.522735291157,18483.112372107367,29664.02867775754,40844.94498340778,40844.94498340778,52025.861289057866
8,sophisticated,50,38973.69440725378,15458.824560410432,16580.80369510439,27451.13899226427,38321.47428942422,49191.809586584044,60062.144883744
10,sophisticated,50,48251.97251546246,18244.845344663707,25262.358803262934,35825.49688091394,46388.6349585648,56951.77303621579,67514.91111386672
12,sophisticated,50,51137.729984902144,19089.486564902727,23080.84115679156,33337.80131914833,53851.72164386172,64108.68180621842,74365.64196857519
14,sophisticated,50,55009.49303070906,20119.00731012378,30858.4441398161,40810.252649331844,50762.06115884772,70665.6781778794,80617.48668739521
16,sophisticated,50,79875.80554047691,23963.722785668262,47708.66536615537,67009.14247551943,76659.38103020142,95959.85813956542,105610.09669424742
18,sophisticated,50,84122.54380144215,24567.527544158285,54003.93817331118,63352.60677315942,82049.9439728558,100747.28117255218,119444.6183722486
20,sophisticated,50,95070.18279546937,25336.475990778035,59737.09940701646,77838.06425765832,95939.02910830016,114039.9939589421,132140.95880958394
22,sophisticated,50,118879.00501148896,27196.752824048803,82400.39761140617,99907.88820465,117415.37879789376,134922.8693911376,152430.35998438142
24,sophisticated,50,122652.16499556265,26842.996625260843,86385.80501222011,103301.87385094512,120217.94268967008,137134.0115283951,154050.08036712004
26,sophisticated,50,132865.6207102099,26946.99819249104,98015.60233884357,114348.3584589918,130681.11457914009,147013.87069928832,171513.00487951076
28,sophisticated,50,135827.68269514255,26151.037844258684,100604.05252752779,116353.49592909936,132102.9393306709,155727.10443302817,171476.54783459974
30,sophisticated,50,159378.41994482325,26272.426462695803,125448.72327976633,140622.6669147731,155796.61054977993,178557.52600229013,193731.46963729692
32,sophisticated,50,175973.28888091916,25700.652839289716,140730.02972351137,155331.37171191417,177233.38469451832,191834.72668292111,206436.06867132388
34,sophisticated,50,178765.06270003985,24399.517957963126,147324.36334201123,161356.31806855422,175388.27279509723,196436.20488491177,210468.15961145476
36,sophisticated,50,176410.4165051975,23626.26284857613,146166.72707707138,159637.40361455266,179843.41842077463,193314.0949582559,206784.77149573722
38,sophisticated,50,186976.53454210333,22051.575041485547,157357.21097148943,170266.60931990904,189630.70684253838,202540.105190958,215449.5035393776
40,sophisticated,50,185865.03948604857,20593.684386153946,160867.43844605787,173225.96963703563,185584.50082801338,197943.03201899113,210301.56320996888
42,sophisticated,50,191959.40197225544,18817.590759247887,169209.44699996783,181018.7101380133,192827.9732760587,204637.2364141041,216446.49955214944
44,sophisticated,50,184329.94373252802,17744.181721734258,159127.60309310563,170393.736593071,187292.9368430189,198559.07034298417,204192.1370929668
46,sophisticated,50,175861.8349596612,16655.774196484395,154533.9712791317,165263.6222314796,175993.2731838275,186722.92413617537,197452.5750885233
48,sophisticated,50,177070.15987828354,14786.223865202768,159632.31913586686,168552.8433544144,174924.6463676626,185119.53118885978,195314.41601005694
50,sophisticated,50,170096.17900159664,13549.67209363167,153717.978903057,163390.0491180389,168226.08422552986,177898.1544405118,187570.22465549377
52,sophisticated,50,159459.3982048612,12632.510742980283,142706.19625964854,151855.4518684152,161004.70747718192,170153.9630859486,174728.59089033198
54,sophisticated,50,157871.67951173292,10463.086287499043,144900.89029001654,149220.02359284242,157858.29019849413,166496.55680414583,170815.69010697168
56,sophisticated,50,146226.4577073203,9901.22652449427,133436.13203766267,141566.26531357015,145631.3319515239,153761.46522743138,157826.53186538513
58,sophisticated,50,134853.15125330168,9160.665768585206,122158.26738156416,129788.5507004147,133603.69235983992,141233.97567869042,145049.11733811567
60,sophisticated,50,125458.63566895576,8177.494193173143,114620.28587705464,121758.29285275345,125327.29634060292,132465.30331630175,136034.30680415116
62,sophisticated,50,114010.38195590099,7473.975022462414,103378.15815361647,110028.70159659171,113353.97331807934,120004.51676105458,123329.78848254221
64,sophisticated,50,102651.37251500363,6873.921097804352,92422.57542835816,98598.08005397802,101685.83236678797,107861.33699240783,110949.08930521776
66,sophisticated,50,93095.6721997304,6079.650487574527,84352.5633204752,90054.5288725378,92905.51164856911,98607.47720063172,101458.45997666303
68,sophisticated,50,81985.5861883652,5450.984789322102,73604.35825483719,78850.16656273481,81473.07071668361,86718.8790245812,89341.78317853
70,sophisticated,50,72270.45183751873,4643.833346832475,65250.97872106545,70040.62978479805,72435.45531666433,74830.28084853063,77225.10638039693
72,sophisticated,50,61328.39783095279,4132.494628070221,56916.788071738265,59093.211238592994,61269.63440544771,63446.05757230242,65622.48073915717
74,sophisticated,50,50417.09616201168,3729.341780690003,46225.10926456445,48183.8901147337,50142.67096490295,52591.14702761451,54060.23266524146
76,sophisticated,50,41060.613563833904,2973.835798166978,37758.44492593262,39509.23684465447,41260.02876337632,43010.82068209817,44761.61260082002
78,sophisticated,50,30460.989727060092,2615.652794820527,27433.92199346998,28978.738392342188,30523.55479121441,32068.371190086633,33613.187588958855
80,sophisticated,50,21302.42506804474,1979.4005341135987,18979.975544244095,20329.217119681634,21678.458695119174,23027.700270556714,23027.700270556714
82,sophisticated,50,11215.244476638258,1668.2678957426615,9125.693323637795,10282.186102584252,11438.678881530715,12595.17166047718,13751.664439423635
84,sophisticated,50,1785.1053816509757,1375.1857086355212,-94.93670926267077,881.2014480133657,1857.3396052894022,2833.4777625654388,3809.6159198414753
86,sophisticated,50,-7566.87497396457,1095.0856672565185,-9168.584580305826,-8369.926087989072,-7571.267595672311,-6772.609103355557,-5973.950611038803
88,sophisticated,50,-16042.495117011278,850.6696654526752,-17398.586387210933,-16760.90592534709,-16123.225463483242,-15485.545001619394,-14847.864539755552
90,sophisticated,50,-24052.13089918304,506.5222764313828,-24948.22739828885,-24467.617851973046,-23987.008305657244,-23506.398759341446,-23506.398759341446
92,sophisticated,50,-31432.062129128706,349.2849544278106,-31762.58417998075,-31762.58417998075,-31419.291646898033,-31075.99911381532,-31075.99911381532
94,sophisticated,50,-38206.37637921596,208.67783099176395,-38437.75192608428,-38220.10960939881,-38220.10960939881,-38002.467292713336,-38002.467292713336
96,sophisticated,50,-44094.13426923386,100.09750325003371,-44218.87596304214,-44110.05480469941,-44110.05480469941,-44001.23364635667,-44001.23364635667
98,sophisticated,50,-48133.47730252531,29.966617737312575,-48176.25841799808,-48141.929164689805,-48141.929164689805,-48107.599911381534,-48107.599911381534
100,sophisticated,50,-50000.0,0.0,-50000.0,-50000.0,-50000.0,-50000.0,-50000.0
0,round_number_heavy,50,48152.37655333454,16575.631364146204,24232.991676237143,36352.663786643185,48472.335897049314,60592.00800745528,72711.68011786141
2,round_number_heavy,50,48675.77325033109,17203.518357456363,22304.86202230891,34109.73745452259,45914.61288673636,57719.48831894995,69524.36375116372
4,round_number_heavy,50,48948.68677313789,17707.32215383291,31876.918363250792,31876.918363250792,43368.41567739131,54859.91299153169,66351.41030567221
6,round_number_heavy,50,49456.48672201951,17950.82779989071,29664.02867775754,40844.94498340778,52025.861289057866,63206.77759470811,74387.69390035828
8,round_number_heavy,50,50278.84311630008,18614.001084446987,27451.13899226427,38321.47428942422,49191.809586584044,60062.144883744,70932.48018090388
10,round_number_heavy,50,69886.33561229937,22792.647137918706,46388.6349585648,56951.77303621579,67514.91111386672,88641.18726916864,99204.32534681956
12,round_number_heavy,50,70449.53457858737,23297.1418078507,43594.76148150496,53851.72164386172,64108.68180621842,84622.60213093189,105136.52245564529
14,round_number_heavy,50,71302.59392248839,23330.792000876976,40810.252649331844,50762.06115884772,70665.6781778794,90569.29519691103,100521.10370642683
16,round_number_heavy,50,71724.24903333702,22757.52566272525,47708.66536615537,57358.90392083736,67009.14247551943,86309.61958488342,105610.09669424742
18,round_number_heavy,50,73660.44877135202,23104.025856831693,44655.269573462996,54003.93817331118,72701.27537300761,91398.61257270398,100747.28117255218
20,round_number_heavy,50,91514.24825056079,25080.25166827922,59737.09940701646,77838.06425765832,86888.54668297924,104989.51153362115,123090.47638426302
22,round_number_heavy,50,92422.5606015086,24931.588666316497,64892.9070181624,73646.65231478428,91154.14290802804,108661.63350127186,126169.12409451563
24,round_number_heavy,50,92621.91378961611,24139.18979488706,61011.70175413269,77927.77059285765,94843.83943158266,111759.90827030761,120217.94268967008
26,round_number_heavy,50,108602.49485592365,25379.635542670407,73516.46815862118,89849.22427876946,106181.98039891769,122514.73651906598,138847.49263921427
28,round_number_heavy,50,107622.79197943815,24990.158917863933,76979.88742517047,92729.33082674202,108478.77422831353,124228.2176298851,139977.6610314566
30,round_number_heavy,50,120748.59423882293,25204.4179681038,87513.86419224925,102687.80782725604,117861.75146226288,140622.6669147731,155796.61054977993
32,round_number_heavy,50,119242.69485337782,24116.729584689947,89625.3327641016,104226.67475250442,118828.01674090722,133429.35872930996,148030.70071771278
34,round_number_heavy,50,129861.59568482843,24124.434847929573,98212.52179911066,112244.4765256537,133292.4086154682,147324.36334201123,161356.31806855422
36,round_number_heavy,50,126228.77873394532,23254.20378303741,99019.35919588685,112490.0357333681,125960.71227084944,139431.38880833075,159637.40361455266
38,round_number_heavy,50,122331.43137255748,22241.832255892212,92810.21922939157,105719.61757781112,125083.71510044055,137993.1134488601,150902.51179727967
40,round_number_heavy,50,129100.45194620913,21396.011347316602,105254.048086658,111433.31368214687,129971.11046861351,142329.64165959126,154688.172850569
42,round_number_heavy,50,124328.34244382629,20434.63151673904,98353.86817169542,110163.13130974083,121972.39444778624,139686.28915485434,151495.55229289975
44,round_number_heavy,50,118222.52558143169,19597.378051130418,91530.80209331392,102796.93559327922,119696.13584322715,130962.26934319243,142228.40284315773
46,round_number_heavy,50,112607.32370028467,18664.436771810128,90156.06556504435,100885.71651739225,111615.36746974013,127709.84389826198,138439.49485060986
48,round_number_heavy,50,106487.4040514481,17771.36456518219,83170.68297688806,93365.56779808525,108657.89502988098,118852.77985107817,129047.66467227534
50,round_number_heavy,50,109036.39973441568,16847.205146481632,86013.48739818347,95685.55761316538,110193.66293563828,119865.73315062022,129537.80336560213
52,round_number_heavy,50,101956.32670376253,15835.415708552802,83236.034802665,92385.29041143169,101534.54602019841,110683.80162896507,119833.05723773176
54,round_number_heavy,50,95271.45716056583,15145.391595521913,75794.75744480293,84433.02405045464,97390.4239589322,106028.6905645839,114666.9571702356
56,round_number_heavy,50,88382.99848922134,14319.834674691849,68395.06583040277,80590.26574426399,88720.39902017149,96850.53229607898,104980.66557198646
58,round_number_heavy,50,81395.00480726922,13197.700986729362,64931.142490185506,72561.425809036,80191.7091278865,91637.13410616221,99267.41742501274
60,round_number_heavy,50,80896.77192036543,12055.837567466757,64654.23704716269,71792.24402286156,82499.2544864098,89637.2614621087,96775.26843780754
62,round_number_heavy,50,73373.56635628939,11115.593925551597,60149.62577427743,66800.16921725265,73450.71266022789,80101.25610320317,86751.7995461784
64,round_number_heavy,50,66003.76663995639,10380.756928356413,52281.79536182905,58457.2999874489,64632.80461306876,73896.06155149855,80071.56617711844
66,round_number_heavy,50,63856.84814358616,9288.989723831124,52991.75278413085,58693.71833619346,64395.68388825607,70097.64944031868,75799.61499238128
68,round_number_heavy,50,55963.49178662377,8326.41306220848,44752.412561400386,49998.220869298006,55244.029177195596,60489.8374850932,65735.64579299079
70,round_number_heavy,50,52400.105434517725,7266.814172208078,43697.54893426881,48487.19999800139,53276.85106173398,58066.50212546655,60461.32765733286
72,round_number_heavy,50,44061.30935207747,6566.090549186996,35152.55640319105,39505.40273690049,43858.24907060992,48211.09540431936,52563.94173802882
74,round_number_heavy,50,35842.199612072305,5764.835308148215,28596.081613041184,32513.643313379696,36431.205013718194,40348.76671405669,42307.54756422594
76,round_number_heavy,50,30596.830582400908,4763.605201094635,23752.109576157847,27253.693413601533,30755.277251045234,34256.86108848892,36007.653007210785
78,round_number_heavy,50,21819.44127340878,4111.341475385874,16620.207201364436,19709.839999108866,21254.656397981104,24344.289195725534,27433.92199346998
80,round_number_heavy,50,15677.571864203184,3190.3941133105423,10884.52609161887,13583.00924249395,16281.49239336903,17630.73396880657,18979.975544244095
82,round_number_heavy,50,6802.530629290144,2673.8559635803786,3343.2294289054917,5656.214986798412,6812.707765744875,9125.693323637795,10282.186102584252
84,round_number_heavy,50,-1757.7880601823974,2191.8568287137773,-4975.627495642846,-3023.3511810907803,-2047.2130238147365,-94.93670926267077,881.2014480133657
86,round_number_heavy,50,-10238.227899065656,1750.8983241757846,-12363.218549572855,-11564.560057256094,-9967.24307262258,-9168.584580305826,-8369.926087989072
88,round_number_heavy,50,-18055.77987120781,1337.7714861136865,-19949.30823466631,-18673.94731093862,-18036.266849074775,-17398.586387210933,-16123.225463483242
90,round_number_heavy,50,-24938.567146407895,796.8697577350789,-25909.44649092045,-25428.83694460465,-24948.22739828885,-24467.617851973046,-23987.008305657244
92,round_number_heavy,50,-32002.888953138645,547.7425739648602,-32792.46177922889,-32449.169246146183,-32105.876713063466,-31762.58417998075,-31419.291646898033
94,round_number_heavy,50,-38541.87201038661,335.95496981230764,-38873.03655945523,-38655.394242769755,-38437.75192608428,-38220.10960939881,-38220.10960939881
96,round_number_heavy,50,-44247.11505363208,158.59390241177914,-44436.518279727614,-44327.697121384874,-44218.87596304214,-44110.05480469941,-44110.05480469941
98,round_number_heavy,50,-48177.74487466633,47.7735084285116,-48244.91692461462,-48210.58767130635,-48176.25841799808,-48141.929164689805,-48107.599911381534
100,round_number_heavy,50,-50000.0,0.0,-50000.0,-50000.0,-50000.0,-50000.0,-50000.0
0,speed_race,50,31713.253302779758,9386.794883377628,24232.991676237143,24232.991676237143,24232.991676237143,36352.663786643185,48472.335897049314
2,speed_race,50,30930.68450062746,9900.466250067098,22304.86202230891,22304.86202230891,34109.73745452259,34109.73745452259,45914.61288673636
4,speed_race,50,30469.209942268604,10618.875702874748,20385.421049110344,20385.421049110344,31876.918363250792,31876.918363250792,43368.41567739131
6,speed_race,50,30398.61487903877,11287.651458498325,18483.112372107367,18483.112372107367,29664.02867775754,40844.94498340778,40844.94498340778
8,speed_race,50,30500.268043117638,12225.236218077272,16580.80369510439,16580.80369510439,27451.13899226427,38321.47428942422,49191.809586584044
10,speed_race,50,36016.68968011938,14720.226152597948,14699.220725612016,25262.358803262934,35825.49688091394,46388.6349585648,56951.77303621579
12,speed_race,50,36798.49967792744,15228.602534828791,23080.84115679156,23080.84115679156,33337.80131914833,43594.76148150496,53851.72164386172
14,speed_race,50,38012.799277306985,16077.277674114112,20906.635630300225,30858.4441398161,40810.252649331844,50762.06115884772,60713.86966836352
